node1,node2,simRate,merge
birth of in this model,the form S,0.70255918,
that model times,interest in the total number of people,0.702476186,
birth of in this model,the states,0.702472574,
the form S,the states,0.70222965,
the model of,The details,0.702192514,
all elements of C,the rate of transmission between individuals in the population,0.702111527,
the elements on ,the significant assumptions,0.702098117,
a record of the number of infection,numerous extensions to the coalescent,0.70202757,
that model times,the rate of transmission between individuals in the population,0.701882777,
birth of in this model,several features : age,0.701312757,
many SEIR models,compartmental models,0.701267796,
each time step,part of the state of the art,0.701127658,
the rate of transmission between individuals in the population,a stochastic model of genealogies,0.701006289,
we,I R We,0.700961297,
We,I R We,0.700961297,
This section,this code,0.700930988,
a special case of a general model,this process,0.700917215,
( ie inverse of mean incubation period,a stochastic process for the transmission rate,0.700893231,
a special case of a general model,the state,0.700789436,
the rate of transmission between individuals in the population,numerous extensions to the coalescent,0.700754901,
the elements on ,The model in a closed population,0.700718914,
the number of recovery events,The probabilities,0.70070049,
the state of our model,one,0.700531108,
one of the simplest models,forecasting of in,0.700427539,
the network model of ,The following,0.700348753,
The susceptible model,the significant assumptions,0.700289559,
the simplest models,parametric models,0.700227415,
birth of in this model,this,0.700168983,
all elements on the row,deterministic  time analogues of  model passage times,0.700122255,
part of the state of the art,another language  things,0.699790408,
The model in a closed population,the SIR model,0.699235489,
the simplest models,deterministic  time analogues of  model passage times,0.699183529,
a special case of a general model,the efficacy of interventions,0.698888864,
one,the established ways,0.698792977,
the number of parasites per host,a stochastic process for the transmission rate,0.698376147,
the probability of all paths,the coalescent,0.698272461,
alternative forms for the process,the states,0.698123609,
alternative forms for the process,an clear [ wiki  Newick_format ) of this grammar,0.698029308,
deterministic  time analogues of  model passage times,the number of infection events,0.697985768,
the network model of ,the method,0.697755698,
birth of in this model,a way,0.697743204,
a way,you,0.697687522,
The model,the system,0.697524772,
birth of in this model,a stochastic process for these parameters,0.697483077,
I_d infectious,an exposed infectious class,0.69706175,
that model times,a stochastic process for these parameters,0.697058093,
each time step,a special case of a general model,0.69663299,
all elements of C,alternative forms for the process,0.696624663,
( ie inverse of mean incubation period,interest in the total number of people,0.696481891,
the model of,the dynamics of the Ebola virus,0.696420604,
a stochastic process for these parameters,the number of susceptible individuals,0.696395688,
an exposed infectious class,a record of the number of infection,0.696185208,
the number of parasites per host,the effective contact rates,0.696181785,
they,you,0.69600221,
a stochastic process for these parameters,interest in the total number of people,0.695930452,
which,one,0.695822272,
the process,the significant assumptions,0.695597719,
a special case of a general model,another language  things,0.695531864,
state variables with a system of,another language  things,0.695449514,
the elements on ,deterministic  time analogues of  model passage times,0.695433358,
each time step,that model times,0.695421088,
interest in the total number of people,a way,0.695375906,
a constant total population size ,a stochastic process for the transmission rate,0.695308597,
this process,part of the state of the art,0.695042048,
Susceptible individuals,SIRS ( susceptible ) infection dynamics in a infinite population of households,0.694877691,
the rate of transmission between individuals in the population,the form S,0.694815321,
The details,the number of infection events,0.694320511,
the efficacy of interventions,the states,0.694200008,
interest in the total number of people,an clear [ wiki  Newick_format ) of this grammar,0.694186744,
which,that model times,0.694155283,
the number of parasites per host,a special case of a general model,0.693795741,
the model of,the significant assumptions,0.693540061,
a record of the number of infection,a recovery event,0.69345506,
